num,num_in_list,name,profile,response,level_to_speach,level,classes_to_speach,class,min_class,max_class,prof_subject,stage
124,34,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,химия,химия,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,химия,отборочный и заключительный
125,35,Многопредметная олимпиада «Юные таланты»,география,география,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,география,отборочный и финал
126,35,Многопредметная олимпиада «Юные таланты»,геология,география,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,геология,отборочный и финал
127,35,Многопредметная олимпиада «Юные таланты»,химия,химия,первый,1,с девятого по одиннадцатый,с 9 по 11,9,11,химия,отборочный и финал
128,36,Многопрофильная инженерная олимпиада «Звезда»,техника и технологии,технология,третий,3,с седьмого по одиннадцатый,с 7 по 11,7,11," машиностроение, авиационная и ракетно-космическая техника, технологии наземного транспорта, кораблестроение, информационная безопасность, химические технологии",отборочный и финал
129,36,Многопрофильная инженерная олимпиада «Звезда»,естественные науки,биология,третий,3,с шестого по одиннадцатый,с 6 по 11,6,11,"биология, информатика, математика, химия, физика",отборочный и финал
130,37,Московская олимпиада школьников,астрономия,астрономия,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,астрономия,отборочный и финал
131,37,Московская олимпиада школьников,генетика,биология,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,биология,отборочный и финал
132,37,Московская олимпиада школьников,география,география,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,география,отборочный и финал
133,37,Московская олимпиада школьников,изобразительное искусство,искусство,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,искусство,отборочный и финал
134,37,Московская олимпиада школьников,информатика,информатика,первый,1,с шестого по одиннадцатый,с 6 по 11,6,11,информатика,отборочный и финал
135,37,Московская олимпиада школьников,история,история,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,история,отборочный и финал
136,37,Московская олимпиада школьников,"история
искусств",искусство,первый,1,с девятого по одиннадцатый,с 9 по 11,9,11,искусство,отборочный и финал
137,37,Московская олимпиада школьников,лингвистика,русский язык,первый,1,с восьмого по одиннадцатый,с 8 по 11,8,11,"русский язык, иностранный язык",отборочный и финал
138,37,Московская олимпиада школьников,математика,математика,первый,1,с восьмого по одиннадцатый,с 8 по 11,8,11,математика,отборочный и финал
139,37,Московская олимпиада школьников,обществознание,обществознание,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,обществознание,отборочный и финал
140,37,Московская олимпиада школьников,право,право,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,право,отборочный и финал
141,37,Московская олимпиада школьников,предпрофессиональная по инженерно-конструкторскому направлению,информатика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,"информатика, математика, информационная безопасность, радиотехника, электроника и наноэлектроника, лазерные технологии",отборочный и финал
142,37,Московская олимпиада школьников,предпрофессиональная по научно-технологическому направлению,физика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,"физика, математика, информатика, лазерные технологии, робототехника, электронные и оптикоэлектронные приборы и системы",отборочный и финал
143,37,Московская олимпиада школьников,робототехника,информатика,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,робототехника,отборочный и финал
144,37,Московская олимпиада школьников,физика,физика,первый,1,с седьмого по одиннадцатый,с 7 по 11,7,11,физика,отборочный и финал
145,37,Московская олимпиада школьников,филология,литература,второй,2,с пятого по десятый,с 5 по 10,5,10,"русский язык, литература,
филология",отборочный и финал
146,37,Московская олимпиада школьников,финансовая грамотность,экономика,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,экономика,отборочный и финал
147,37,Московская олимпиада школьников,химия,химия,первый,1,с восьмого по одиннадцатый,с 8 по 11,8,11,химия,отборочный и финал
148,37,Московская олимпиада школьников,экология,биология,третий,3,с пятого по десятый,с 5 по 10,5,10,экология,отборочный и финал
