num,num_in_list,name,profile,response,level,min_class,max_class,prof_subject,stage,link
62,9,Всероссийская олимпиада школьников «Высшая проба»,русский язык,русский язык,1,7,11,русский язык,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/160
63,9,Всероссийская олимпиада школьников «Высшая проба»,социология,социология,1,9,11,социология и социальная работа,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5448
64,9,Всероссийская олимпиада школьников «Высшая проба»,физика,физика,2,9,11,физика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/161
65,9,Всероссийская олимпиада школьников «Высшая проба»,филология,литература,1,7,11,"филология, литература",дистанционный отборочный и заключительный,https://olimpiada.ru/activity/148
66,9,Всероссийская олимпиада школьников «Высшая проба»,философия,обществознание,1,9,11,"философия, этика и религиоведение",дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5449
67,9,Всероссийская олимпиада школьников «Высшая проба»,финансовая грамотность,экономика,1,7,11,экономика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5572
68,9,Всероссийская олимпиада школьников «Высшая проба»,химия,химия,2,9,11,химия,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5670
69,9,Всероссийская олимпиада школьников «Высшая проба»,экономика,экономика,1,8,11,экономика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/152
70,10,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание – финансист!»,английский язык,иностранный язык,3,8,11,иностранный язык,онлайн отборочный и заключительный,https://olimpiada.ru/activity/5758
71,10,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание – финансист!»,история,история,3,8,11,история,онлайн отборочный и заключительный,https://olimpiada.ru/activity/5418
72,10,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание – финансист!»,математика,математика,3,8,11,математика,онлайн отборочный и заключительный,https://olimpiada.ru/activity/4355
73,10,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание – финансист!»,обществознание,обществознание,3,8,11,обществознание,онлайн отборочный и заключительный,https://olimpiada.ru/activity/5296
74,10,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание – финансист!»,экономика,экономика,3,8,11,экономика,онлайн отборочный и заключительный,https://olimpiada.ru/activity/4354
75,10,Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание – финансист!»,финансовая грамотность,экономика,3,8,11,экономика,онлайн отборочный и заключительный,https://olimpiada.ru/activity/5822
76,11,Всероссийская Сеченовская олимпиада школьников,биология,биология,2,5,11,биология,заочный отборочный и заключительный,https://olimpiada.ru/activity/5149
77,11,Всероссийская Сеченовская олимпиада школьников,химия,химия,2,5,11,химия,заочный отборочный и заключительный,https://olimpiada.ru/activity/5148
78,12,Всероссийская Толстовская олимпиада школьников,литература,литература,2,10,11,"литература, филология",дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5428
79,12,Всероссийская Толстовская олимпиада школьников,история,история,3,10,11,история,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5207
80,12,Всероссийская Толстовская олимпиада школьников,обществознание,обществознание,3,10,11,обществознание,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5443
81,12,Всероссийская Толстовская олимпиада школьников,право,право,3,10,11,право,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5768
82,13,Всероссийская экономическая олимпиада школьников имени Н.Д. Кондратьева,экономика,экономика,1,5,11,экономика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/59
83,14,Всероссийский конкурс научных работ школьников «Юниор»,естественные науки,биология,3,9,11,"естественные науки, экология и природопользование",прием работ и финал,https://olimpiada.ru/activity/5430
84,14,Всероссийский конкурс научных работ школьников «Юниор»,инженерные науки,информатика,3,9,11,"естественные науки, инженерные науки, ядерная энергетика и технологии, физико-технические науки, нанотехнологии и робототехника",прием работ и финал,https://olimpiada.ru/activity/5431
85,15,Всесибирская открытая олимпиада школьников,биология,биология,2,7,11,биология,основной и заключительный,https://olimpiada.ru/activity/318
86,15,Всесибирская открытая олимпиада школьников,информатика,информатика,1,7,11,информатика,основной и заключительный,https://olimpiada.ru/activity/316
87,15,Всесибирская открытая олимпиада школьников,математика,математика,2,7,11,математика,основной и заключительный,https://olimpiada.ru/activity/315
88,15,Всесибирская открытая олимпиада школьников,физика,физика,2,7,11,физика,основной и заключительный,https://olimpiada.ru/activity/319
89,15,Всесибирская открытая олимпиада школьников,химия,химия,1,7,11,химия,основной и заключительный,https://olimpiada.ru/activity/317
90,16,Вузовско-академическая олимпиада по информатике,информатика,информатика,1,7,11,информатика,"первый отборочный, второй отборочный и заключительный",https://olimpiada.ru/activity/5059
91,17,Герценовская олимпиада школьников,география,география,2,8,11,география,отборочный и финал,https://olimpiada.ru/activity/5028
92,17,Герценовская олимпиада школьников,иностранные языки,иностранный язык,2,8,11,иностранные языки,отборочный и финал,https://olimpiada.ru/activity/5029
93,18,Городская открытая олимпиада школьников по физике,физика,физика,2,7,11,физика, дистанционный отборочный и очный заключительный,https://olimpiada.ru/activity/241
94,19,Государственный аудит,обществознание,обществознание,2,10,11,обществознание,отборочный и заключительный,https://olimpiada.ru/activity/188
95,20,Инженерная олимпиада школьников,физика,физика,2,9,11,физика,дистанционный или очный отборочный и заключительный,https://olimpiada.ru/activity/282
96,21,"Интернет-олимпиада школьников
по физике",физика,физика,1,7,11,физика,дистанционный и заключительный,https://olimpiada.ru/activity/57
97,22,Кутафинская олимпиада школьников по праву,право,право,1,8,11,право,отборочный и заключительный,https://olimpiada.ru/activity/199
98,23,Междисциплинарная олимпиада школьников имени В.И. Вернадского,гуманитарные и социальные науки,история,1,7,11,"история, обществознание",отборочный и заключительный,https://olimpiada.ru/activity/5054
99,24,Международная Менделеевская олимпиада школьников по химии,химия,химия,1,10,11,химия,заключительный,https://olimpiada.ru/activity/307
100,25,Международная олимпиада «Innopolis Open»,информатика,информатика,1,7,11,информатика,отборочный и заключительный,https://olimpiada.ru/activity/5283
101,25,Международная олимпиада «Innopolis Open»,информационная безопасность,информатика,1,7,11,"информатика, информационная безопасность",отборочный и заключительный,https://olimpiada.ru/activity/5698
102,25,Международная олимпиада «Innopolis Open»,математика,математика,3,7,11,математика,отборочный и заключительный,https://olimpiada.ru/activity/5367
103,25,Международная олимпиада «Innopolis Open»,робототехника,информатика,3,7,11,"информатика, робототехника",отборочный и заключительный,https://olimpiada.ru/activity/5284
104,26,Международная олимпиада по финансовой безопасности,финансовая безопасность,экономика,1,8,11,"экономика, юриспруденция, информационная безопасность, международные отношения",пригласительный и заключительный,https://olimpiada.ru/activity/5795
105,27,Международная олимпиада школьников «Искусство графики»,графический дизайн,искусство,1,10,11,изобразительное и прикладные виды искусств,отборочный и заключительный,https://olimpiada.ru/activity/5420
106,27,Международная олимпиада школьников «Искусство графики»,рисунок,искусство,1,10,11,изобразительное и прикладные виды искусств,отборочный и заключительный,https://olimpiada.ru/activity/5420
107,28,Международная олимпиада школьников Уральского федерального университета «Изумруд»,информатика,информатика,3,8,11,информатика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5638
108,28,Международная олимпиада школьников Уральского федерального университета «Изумруд»,история,история,3,8,11,история,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5617
109,28,Международная олимпиада школьников Уральского федерального университета «Изумруд»,математика,математика,3,8,11,математика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5393
110,28,Международная олимпиада школьников Уральского федерального университета «Изумруд»,обществознание,обществознание,3,8,11,обществознание,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5396
111,28,Международная олимпиада школьников Уральского федерального университета «Изумруд»,русский язык,русский язык,3,8,11,русский язык,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5394
112,28,Международная олимпиада школьников Уральского федерального университета «Изумруд»,химия,химия,3,8,11,химия,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5616
113,29,Межрегиональная олимпиада по праву «ФЕМИДА»,право,право,2,9,11,"обществознание, право",отборочный и заключительный,https://olimpiada.ru/activity/185
114,30,Межрегиональная олимпиада школьников «САММАТ»,математика,математика,3,6,11,"математика и механика, компьютерные науки, информатика, информационная безопасность, техника",очный или заочный отборочный и заключительный,https://olimpiada.ru/activity/197
115,31,"Межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, композиция)",искусство,искусство,2,8,11,"рисунок, композиция",отборочный и заключительный,https://olimpiada.ru/activity/5278
116,32,Межрегиональная олимпиада школьников «Будущие исследователи – будущее науки»,биология,биология,2,7,11,биология,"отборочный, заочный и заключительный",https://olimpiada.ru/activity/358
117,32,Межрегиональная олимпиада школьников «Будущие исследователи – будущее науки»,история,история,2,7,11,история,"отборочный, заочный и заключительный",https://olimpiada.ru/activity/359
118,32,Межрегиональная олимпиада школьников «Будущие исследователи – будущее науки»,математика,математика,3,7,11,математика,"отборочный, заочный и заключительный",https://olimpiada.ru/activity/360
119,32,Межрегиональная олимпиада школьников «Будущие исследователи – будущее науки»,русский язык,русский язык,2,7,11,русский язык,"отборочный, заочный и заключительный",https://olimpiada.ru/activity/363
120,32,Межрегиональная олимпиада школьников «Будущие исследователи – будущее науки»,физика,физика,2,7,11,физика,"отборочный, заочный и заключительный",https://olimpiada.ru/activity/361
121,32,Межрегиональная олимпиада школьников «Будущие исследователи – будущее науки»,химия,химия,2,7,11,химия,"отборочный, заочный и заключительный",https://olimpiada.ru/activity/362
